Object,X,Y,Z,Time
Sun,    5.5628E+06,    2.2810E+05,    0.0000E+00,            7320000.
Jupiter,    7.7277E+11,    9.5653E+10,    0.0000E+00,            7320000.
Sun,    5.6543E+06,    2.3376E+05,    0.0000E+00,            7380000.
Jupiter,    7.7268E+11,    9.6433E+10,    0.0000E+00,            7380000.
Sun,    5.7465E+06,    2.3951E+05,    0.0000E+00,            7440000.
Jupiter,    7.7258E+11,    9.7213E+10,    0.0000E+00,            7440000.
Sun,    5.8395E+06,    2.4535E+05,    0.0000E+00,            7500000.
Jupiter,    7.7248E+11,    9.7993E+10,    0.0000E+00,            7500000.
Sun,    5.9332E+06,    2.5129E+05,    0.0000E+00,            7560000.
Jupiter,    7.7238E+11,    9.8773E+10,    0.0000E+00,            7560000.
Sun,    6.0277E+06,    2.5732E+05,    0.0000E+00,            7620000.
Jupiter,    7.7229E+11,    9.9552E+10,    0.0000E+00,            7620000.
Sun,    6.1229E+06,    2.6345E+05,    0.0000E+00,            7680000.
Jupiter,    7.7219E+11,    1.0033E+11,    0.0000E+00,            7680000.
Sun,    6.2188E+06,    2.6967E+05,    0.0000E+00,            7740000.
Jupiter,    7.7209E+11,    1.0111E+11,    0.0000E+00,            7740000.
Sun,    6.3155E+06,    2.7599E+05,    0.0000E+00,            7800000.
Jupiter,    7.7198E+11,    1.0189E+11,    0.0000E+00,            7800000.
Sun,    6.4129E+06,    2.8241E+05,    0.0000E+00,            7860000.
Jupiter,    7.7188E+11,    1.0267E+11,    0.0000E+00,            7860000.
Sun,    6.5111E+06,    2.8893E+05,    0.0000E+00,            7920000.
Jupiter,    7.7178E+11,    1.0345E+11,    0.0000E+00,            7920000.
Sun,    6.6100E+06,    2.9555E+05,    0.0000E+00,            7980000.
Jupiter,    7.7168E+11,    1.0423E+11,    0.0000E+00,            7980000.
Sun,    6.7097E+06,    3.0227E+05,    0.0000E+00,            8040000.
Jupiter,    7.7157E+11,    1.0501E+11,    0.0000E+00,            8040000.
Sun,    6.8101E+06,    3.0908E+05,    0.0000E+00,            8100000.
Jupiter,    7.7147E+11,    1.0579E+11,    0.0000E+00,            8100000.
Sun,    6.9112E+06,    3.1600E+05,    0.0000E+00,            8160000.
Jupiter,    7.7136E+11,    1.0656E+11,    0.0000E+00,            8160000.
Sun,    7.0131E+06,    3.2303E+05,    0.0000E+00,            8220000.
Jupiter,    7.7125E+11,    1.0734E+11,    0.0000E+00,            8220000.
Sun,    7.1157E+06,    3.3015E+05,    0.0000E+00,            8280000.
Jupiter,    7.7115E+11,    1.0812E+11,    0.0000E+00,            8280000.
Sun,    7.2191E+06,    3.3738E+05,    0.0000E+00,            8340000.
Jupiter,    7.7104E+11,    1.0890E+11,    0.0000E+00,            8340000.
Sun,    7.3232E+06,    3.4472E+05,    0.0000E+00,            8400000.
Jupiter,    7.7093E+11,    1.0968E+11,    0.0000E+00,            8400000.
Sun,    7.4280E+06,    3.5215E+05,    0.0000E+00,            8460000.
Jupiter,    7.7082E+11,    1.1046E+11,    0.0000E+00,            8460000.
Sun,    7.5336E+06,    3.5970E+05,    0.0000E+00,            8520000.
Jupiter,    7.7071E+11,    1.1124E+11,    0.0000E+00,            8520000.
